weather_time,temp_c,precip_mm,wind_mps,gust_mps,pressure_hpa,rel_humidity_pct,weather_code
2025-04-01 00:00:00-07:00,12.0,0.0,22.7,,1016.4,85.0,3.0
2025-04-01 01:00:00-07:00,11.6,0.0,20.9,,1016.1,82.0,3.0
2025-04-01 02:00:00-07:00,11.5,0.0,21.2,,1015.6,80.0,3.0
2025-04-01 03:00:00-07:00,11.0,0.0,21.6,,1015.2,83.0,3.0
2025-04-01 04:00:00-07:00,10.5,0.0,21.6,,1014.9,82.0,1.0
2025-04-01 05:00:00-07:00,10.1,0.0,20.2,,1014.9,83.0,3.0
2025-04-01 06:00:00-07:00,9.6,0.0,17.3,,1014.9,84.0,3.0
2025-04-01 07:00:00-07:00,9.7,0.0,17.3,,1015.3,81.0,3.0
2025-04-01 08:00:00-07:00,11.4,0.0,15.5,,1015.3,80.0,3.0
2025-04-01 09:00:00-07:00,13.5,0.0,14.0,,1015.5,67.0,3.0
2025-04-01 10:00:00-07:00,15.5,0.0,16.9,,1015.4,44.0,2.0
2025-04-01 11:00:00-07:00,16.8,0.0,18.0,,1014.8,41.0,3.0
2025-04-01 12:00:00-07:00,17.6,0.0,23.4,,1014.0,41.0,3.0
2025-04-01 13:00:00-07:00,18.4,0.0,29.9,,1013.0,40.0,3.0
2025-04-01 14:00:00-07:00,17.7,0.0,33.5,,1012.7,45.0,3.0
2025-04-01 15:00:00-07:00,17.4,0.0,34.6,,1012.0,47.0,3.0
2025-04-01 16:00:00-07:00,16.6,0.0,35.3,,1011.3,54.0,3.0
2025-04-01 17:00:00-07:00,15.8,0.0,32.4,,1010.7,57.0,3.0
2025-04-01 18:00:00-07:00,14.8,0.0,32.8,,1010.3,63.0,3.0
2025-04-01 19:00:00-07:00,13.8,0.0,30.2,,1010.0,68.0,3.0
2025-04-01 20:00:00-07:00,13.2,0.0,31.3,,1009.9,63.0,3.0
2025-04-01 21:00:00-07:00,12.6,0.0,30.2,,1010.6,64.0,3.0
2025-04-01 22:00:00-07:00,11.9,0.0,26.3,,1010.9,65.0,3.0
2025-04-01 23:00:00-07:00,11.3,0.0,20.9,,1011.0,69.0,3.0
2025-04-02 00:00:00-07:00,10.6,0.0,16.2,,1011.1,71.0,3.0
2025-04-02 01:00:00-07:00,10.2,0.0,14.0,,1011.2,73.0,1.0
2025-04-02 02:00:00-07:00,9.7,0.0,14.0,,1010.6,76.0,1.0
2025-04-02 03:00:00-07:00,9.0,0.0,14.4,,1010.0,78.0,1.0
2025-04-02 04:00:00-07:00,8.6,0.0,17.6,,1009.6,78.0,1.0
2025-04-02 05:00:00-07:00,8.3,0.0,16.2,,1009.8,76.0,1.0
2025-04-02 06:00:00-07:00,7.9,0.0,12.2,,1009.7,77.0,2.0
2025-04-02 07:00:00-07:00,7.5,0.0,11.9,,1010.2,78.0,1.0
2025-04-02 08:00:00-07:00,9.5,0.0,14.4,,1010.4,70.0,2.0
2025-04-02 09:00:00-07:00,12.4,0.0,15.1,,1010.1,49.0,1.0
2025-04-02 10:00:00-07:00,13.9,0.0,16.6,,1010.2,42.0,1.0
2025-04-02 11:00:00-07:00,15.5,0.0,18.7,,1010.1,36.0,1.0
2025-04-02 12:00:00-07:00,17.2,0.0,19.1,,1009.4,30.0,1.0
2025-04-02 13:00:00-07:00,17.9,0.0,24.8,,1009.1,32.0,1.0
2025-04-02 14:00:00-07:00,18.1,0.0,26.6,,1009.1,35.0,1.0
2025-04-02 15:00:00-07:00,18.2,0.0,29.2,,1008.5,34.0,1.0
2025-04-02 16:00:00-07:00,17.9,0.0,28.4,,1008.1,36.0,2.0
2025-04-02 17:00:00-07:00,17.4,0.0,28.4,,1008.0,39.0,2.0
2025-04-02 18:00:00-07:00,15.9,0.0,29.2,,1008.1,52.0,2.0
2025-04-02 19:00:00-07:00,14.5,0.0,23.4,,1008.3,58.0,2.0
2025-04-02 20:00:00-07:00,13.9,0.0,18.4,,1008.6,61.0,2.0
2025-04-02 21:00:00-07:00,13.6,0.0,12.6,,1009.3,58.0,2.0
2025-04-02 22:00:00-07:00,12.9,0.0,10.8,,1010.0,56.0,1.0
2025-04-02 23:00:00-07:00,11.9,0.0,11.9,,1010.5,61.0,1.0
2025-04-03 00:00:00-07:00,11.5,0.0,11.9,,1011.6,69.0,1.0
2025-04-03 01:00:00-07:00,10.6,0.0,10.8,,1011.6,61.0,1.0
2025-04-03 02:00:00-07:00,10.0,0.0,8.3,,1011.9,64.0,1.0
2025-04-03 03:00:00-07:00,9.4,0.0,9.0,,1011.9,68.0,1.0
2025-04-03 04:00:00-07:00,8.8,0.0,7.6,,1011.8,73.0,1.0
2025-04-03 05:00:00-07:00,8.4,0.0,7.2,,1012.2,76.0,1.0
2025-04-03 06:00:00-07:00,8.6,0.0,8.3,,1012.2,75.0,2.0
2025-04-03 07:00:00-07:00,8.9,0.0,9.4,,1012.8,73.0,3.0
2025-04-03 08:00:00-07:00,10.4,0.0,9.7,,1013.5,67.0,3.0
